time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-08T18:58:29.140Z,66.3022,-156.9264,0,3,ml,,,,0.83,ak,ak0193342jvb,2019-03-08T19:10:21.905Z,"67km S of Kobuk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-03-08T18:32:29.160Z,66.2463,-157.4429,0.9,2.8,ml,,,,0.77,ak,ak019333wz5i,2019-03-08T18:45:16.078Z,"77km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-08T16:39:09.822Z,59.931,-153.1752,120,2.6,ml,,,,0.62,ak,ak019332rkgh,2019-03-08T16:49:47.139Z,"66km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-08T16:21:12.500Z,31.9028333,-115.8145,9.79,2.75,ml,14,172,0.1524,0.18,ci,ci38260431,2019-03-08T17:01:44.388Z,"71km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.51,0.8,0.17,48,reviewed,ci,ci
2019-03-08T16:20:34.344Z,50.8058,178.522,26.6,3.7,ml,,,,0.4,ak,ak019332np22,2019-03-08T17:24:05.372Z,"127km S of Little Sitkin Island, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2019-03-08T16:20:31.990Z,52.1042,177.7314,35,4.2,mb,,286,2.137,1.18,us,us1000jcfk,2019-03-08T17:53:35.040Z,"8km E of Kiska Volcano, Alaska",earthquake,14.1,2,0.105,25,reviewed,us,us
2019-03-08T15:39:06.410Z,18.1991,-67.1878,108,2.56,md,9,146,0.1046,0.2,pr,pr2019067014,2019-03-08T18:36:17.185Z,"5km W of Mayaguez, Puerto Rico",earthquake,1.61,1.09,0.32,9,reviewed,pr,pr
2019-03-08T15:06:16.000Z,10.3874,126.08,54.4,6,mww,,103,3.333,1.01,us,us1000jccx,2019-03-08T18:05:51.983Z,"40km N of Santa Monica, Philippines",earthquake,8.9,6.2,0.071,19,reviewed,us,us
2019-03-08T12:51:36.690Z,-32.4223,-175.9897,10,5,mb,,78,6.941,0.35,us,us1000jccb,2019-03-08T13:14:21.040Z,"296km ESE of L'Esperance Rock, New Zealand",earthquake,12,1.9,0.113,25,reviewed,us,us
2019-03-08T12:21:37.883Z,52.0667,-168.9371,6.7,2.7,ml,,,,0.41,ak,ak019330a2ki,2019-03-08T17:34:17.840Z,"97km S of Nikolski, Alaska",earthquake,,10.7,,,reviewed,ak,ak
2019-03-08T11:57:18.570Z,-32.1873,-178.1324,10,5,mb,,77,6.108,0.63,us,us1000jcbz,2019-03-08T12:16:36.040Z,"110km SE of L'Esperance Rock, New Zealand",earthquake,10.2,1.9,0.062,84,reviewed,us,us
2019-03-08T11:07:22.050Z,13.911,-91.2338,37.2,4.1,mb,,197,0.756,0.68,us,us1000jcbs,2019-03-08T11:36:24.040Z,"27km SW of La Gomera, Guatemala",earthquake,6,16.2,0.082,41,reviewed,us,us
2019-03-08T09:38:33.440Z,-7.8024,118.9751,10,4.5,mb,,75,2.875,0.34,us,us1000jcb8,2019-03-08T10:28:40.040Z,"54km N of Sangiang, Indonesia",earthquake,6.7,1.9,0.106,26,reviewed,us,us
2019-03-08T09:14:12.828Z,51.9927,-169.0755,29.6,2.8,ml,,,,0.36,ak,ak01932yg7nq,2019-03-08T15:31:08.377Z,"106km S of Nikolski, Alaska",earthquake,,2.5,,,reviewed,ak,ak
2019-03-08T08:14:38.500Z,19.0768,-68.117,102,2.87,md,5,222,0.6219,0.54,pr,pr2019067013,2019-03-08T12:35:25.040Z,"62km NNE of Punta Cana, Dominican Republic",earthquake,9.19,8.9,0.4,5,reviewed,pr,pr
2019-03-08T07:21:07.498Z,66.3113,-156.9345,0,3.3,ml,,,,0.81,ak,ak01932xaswa,2019-03-08T09:09:11.040Z,"66km S of Kobuk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-03-08T06:58:19.480Z,18.8485,-67.8303,10,2.76,md,4,334,0.5819,0.49,pr,pr2019067009,2019-03-08T08:18:05.201Z,"67km ENE of Punta Cana, Dominican Republic",earthquake,7.38,10.45,0.16,3,reviewed,pr,pr
2019-03-08T05:36:40.550Z,19.0881,-68.2201,54,3.04,md,10,278,0.5964,0.57,pr,pr2019067008,2019-03-08T08:57:40.040Z,"60km NE of Punta Cana, Dominican Republic",earthquake,6.1,10.42,0.26,10,reviewed,pr,pr
2019-03-08T05:32:55.640Z,-3.9187,139.9206,10,5.2,mb,,37,7.665,1.27,us,us1000jc9b,2019-03-08T13:35:31.511Z,"160km SSW of Abepura, Indonesia",earthquake,7.9,1.8,0.059,94,reviewed,us,us
2019-03-08T04:16:12.800Z,19.6553,-65.3158,75,3.43,md,15,320,1.5498,0.33,pr,pr2019067004,2019-03-08T12:18:49.197Z,"143km NNE of Vieques, Puerto Rico",earthquake,3.53,10.32,0.41,14,reviewed,pr,pr
2019-03-08T04:11:42.020Z,19.7421,-65.3768,30,3.35,md,17,299,1.5979,0.34,pr,pr2019067006,2019-03-08T08:17:32.777Z,"153km NNE of Vieques, Puerto Rico",earthquake,1.7,26.25,0.33,16,reviewed,pr,pr
2019-03-08T03:45:39.489Z,66.2968,-156.9747,0,3.1,ml,,,,0.77,ak,ak01932v2a3n,2019-03-08T03:59:06.050Z,"68km S of Kobuk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-03-08T03:04:24.200Z,19.148,-66.5883,11,2.72,md,11,297,0.6735,0.3,pr,pr2019067005,2019-03-08T08:17:13.513Z,"75km N of Arecibo, Puerto Rico",earthquake,2.63,3.98,0.34,11,reviewed,pr,pr
2019-03-08T02:47:20.930Z,54.363,159.7582,107.82,4.4,mb,,116,1.495,0.67,us,us1000jc89,2019-03-08T03:17:01.040Z,"159km NE of Yelizovo, Russia",earthquake,11.8,6,0.11,24,reviewed,us,us
2019-03-08T02:32:13.960Z,22.4546,121.4121,10,5.4,mww,,54,0.474,1.23,us,us1000jc88,2019-03-08T16:53:50.040Z,"43km SE of Taitung City, Taiwan",earthquake,2.2,1.8,0.071,19,reviewed,us,us
2019-03-08T02:07:55.710Z,13.7428,-91.2955,10,4.3,mb,,173,0.868,1,us,us1000jc80,2019-03-08T02:28:41.040Z,"46km SW of La Gomera, Guatemala",earthquake,6.7,2,0.059,80,reviewed,us,us
2019-03-08T01:48:47.984Z,68.0204,-151.5253,9.2,2.6,ml,,,,0.64,ak,ak01932tw3mk,2019-03-08T15:17:24.247Z,"16km SSE of Anaktuvuk Pass, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-03-08T01:18:38.330Z,18.627,-64.921,45,3.11,md,4,347,1.0469,0.41,pr,pr2019067002,2019-03-08T04:45:56.807Z,"31km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,14.51,22.06,0.18,4,reviewed,pr,pr
2019-03-08T00:58:20.130Z,18.0048,-68.3305,103,3.28,md,14,218,0.9321,0.43,pr,pr2019067001,2019-03-08T04:45:45.775Z,"50km SE of Boca de Yuma, Dominican Republic",earthquake,4.4,2.94,0.25,11,reviewed,pr,pr
2019-03-08T00:20:04.812Z,61.5452,-149.7445,20.3,2.7,ml,,,,1,ak,ak01932t4jrj,2019-03-08T00:54:40.040Z,"8km WNW of Knik-Fairview, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-07T23:58:42.045Z,66.3298,-157.6399,0.1,3.3,ml,,,,0.92,ak,ak01931jiee8,2019-03-08T01:08:44.040Z,"72km SSW of Kobuk, Alaska",earthquake,,745.5,,,automatic,ak,ak
2019-03-07T22:23:57.200Z,-2.4202,140.2639,10,4.6,mb,,69,7.106,0.43,us,us1000jc4z,2019-03-07T22:48:13.732Z,"42km WNW of Abepura, Indonesia",earthquake,11.6,1.9,0.107,26,reviewed,us,us
2019-03-07T22:11:50.727Z,58.6011,-155.154,135.7,4.8,ml,,,,0.84,ak,ak01931imwnj,2019-03-08T07:42:18.705Z,"88km E of King Salmon, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-03-07T22:01:05.901Z,56.3857,-149.4595,5.2,2.8,ml,,,,0.57,ak,ak01931ikrqb,2019-03-08T06:03:40.410Z,"237km SE of Kodiak, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2019-03-07T21:57:10.290Z,19.2988,-64.6636,89,3.46,md,12,320,1.6561,0.28,pr,pr2019066011,2019-03-08T00:28:21.644Z,"97km N of Road Town, British Virgin Islands",earthquake,4.2,9.12,0.38,9,reviewed,pr,pr
2019-03-07T20:17:20.160Z,18.969,-68.1535,113,3.04,md,3,212,1.4199,0.28,pr,pr2019066010,2019-03-08T00:42:11.548Z,"50km NNE of Punta Cana, Dominican Republic",earthquake,6.69,4.78,0.06,3,reviewed,pr,pr
2019-03-07T20:16:16.950Z,48.444,153.0854,128.23,4.9,mb,,137,5.51,0.96,us,us1000jc18,2019-03-07T20:42:55.040Z,"Kuril Islands,",earthquake,9.9,6.9,0.037,233,reviewed,us,us
2019-03-07T19:37:22.310Z,23.9766,99.388,10,4.4,mb,,108,2.684,0.85,us,us1000jc0h,2019-03-07T22:29:17.040Z,"15km ESE of Dedang, China",earthquake,8.9,1.9,0.108,25,reviewed,us,us
